C-0123456, Duong Nguyen, IC123456789, 10
C-1234567, My Tram, IC234567890, 1
C-2345678, Linh Tang, IC345678901, 5
C-3456789, Mimi, IC456789012, 7
C-4567890, Nhi, IC567890123, 5
C-5678901, Thu Tran, IC678901234, 10
C-6789012, My Tram, IC012345678, 1
C-1234567, My Tram, IC012345678, 1
C-1234567, My Tram, IC012345678, 1
C-1234567, My Tram, IC012345678, 1
C-1234567, My Tram, IC012345678, 1
C-1234567, My Tram, IC012345678, 1
C-1234567, My Tram, IC012345678, 1
C-1234567, My Tram, IC012345678, 1
C-1234567, My Tram, IC012345678, 1

